sentence	label	e1	e2	evs
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing <e1> MMP-2 </e1> and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-2	PC-3	node MMP-2/mmp2 and PC-3/prostate cancer has the following common neighbors: lymph node, testis, Mitoxantrone, prostate gland, TGFB1
These findings suggest that the quinazoline-based doxazosin mediates <e2> prostate cancer </e2> apoptosis by initially inducing the expression of <e1> TGF-beta1 </e1> signalling effectors and subsequently I kappa B alpha.	1	TGF-beta1	prostate cancer	node TGF-beta1/tgfb1 and prostate cancer has the following common neighbors: urethra, testis, MMP2, seminal vesicle, PRKCQ
Overexpression of <e1> PIM-1 </e1> is a potential biomarker in <e2> prostate carcinoma </e2> .	0	PIM-1	prostate carcinoma	
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins <e1> Bcl-XL </e1> and survivin.	0	Bcl-XL	prostate cancer	node Bcl-XL/bcl9l and prostate cancer has the following common neighbors: CTNNB1, EGR1, epithelium, prostate gland,
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	node PDLIM4 mRNA/pdlim4 and PC3/prostate cancer has the following common neighbors: CSRP1, urethra, TLR4, bone marrow, GDF15
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, <e1> miR-182 </e1> and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-182	BPH	
L-mimosine enhanced expression of Btg2 and <e1> Ndrg1 </e1> , which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Ndrg1	PC-3	node Ndrg1 and PC-3/prostate cancer has the following common neighbors: urethra, CTNNB1, testis, MME, lymph node
Ubiquitous <e1> mitochondrial creatine kinase </e1> is overexpressed in the conditioned medium and the extract of <e2> LNCaP </e2> lineaged androgen independent cell lines and facilitates prostate cancer progression.	1	mitochondrial creatine kinase	LNCaP	
In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated <e1> GRP78 </e1> expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	GRP78	LNCaP	node GRP78/gpr78 and LNCaP/prostate cancer has the following common neighbors: PARP1, RPN1, RPL36AL, HSPE1, PRKCQ
In keeping with our clinical data, activation of <e1> AR </e1> by dihydrotestosterone (DHT) potently activated GRP78 expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	AR	LNCaP	node AR and LNCaP/prostate cancer has the following common neighbors: TOP2A, HIST1H2BG, NOS3, renal system, urethra
R-(+) equol and S-(-) equol inhibited motility and invasion in <e2> PC3 </e2> and DU145 cells, while the most strong effect was observed in PC3 cells by R-(+) equol, which might regulated by the activation of <e1> estrogen receptor-alpha </e1> .	1	estrogen receptor-alpha	PC3	
These events result in increased accumulation of <e1> AR </e1> and thus enhanced growth of <e2> prostate cancer </e2> cells at low levels of androgen.	1	AR	prostate cancer	node AR and prostate cancer has the following common neighbors: GPSM3, urethra, testis, LDHB, lymph node
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	node PDLIM4 mRNA/pdlim4 and PC3/prostate cancer has the following common neighbors: PRKCQ, CSRP1, TYMS, urethra, bone marrow
[Overexpression of <e1> human tumor metastasis-related gene TMSG-1 </e1> suppresses cell proliferation and invasion of a highly metastatic <e2> prostate cancer </e2> cell line PC-3M-1E8 in vitro].	1	human tumor metastasis-related gene TMSG-1	prostate cancer	node human tumor metastasis-related gene TMSG-1/numa1 and prostate cancer has the following common neighbors: lymph node, SUMO2, IRS1, EPRS, TPI1
In vitro and in vivo xenograft experiments in NOD/SCID mice further demonstrated that SOX2 increased the apoptosis-resistant properties of <e2> DU145 </e2> cells with decreased function of store-operated Ca(2+) entry and reduced expression of <e1> Orai1 </e1> at both mRNA and protein levels, suggesting a potential mechanism that contributes to the anti-apoptotic property of SOX2.	0	Orai1	DU145	node Orai1 and DU145/prostate cancer has the following common neighbors: epithelium, prostate gland, bone marrow,
