sentence	label	e1	e2	evs
In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated <e1> GRP78 </e1> expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	GRP78	LNCaP	GRP78 is connected to gene, human chromosome 9, human chromosome 9, reverse strand GRP78, heat shock protein family A (Hsp70) member 5, BIP, HEL-S-89n, . LNCaP is connected to cell line, cancer cell line, Comprehensive galectin fingerprinting in a panel of 61 human tumor cell lines by RT-PCR and its implications for diagnostic and therapeutic procedures, The use of multicolor fluorescence technologies in the characterization of prostate carcinoma cell lines: a comparison of multiplex fluorescence in situ hybridization and spectral karyotyping data LNCAP, Ln-Cap, LNCaP, Lymph Node Carcinoma of the prostate, .
In vitro and in vivo xenograft experiments in NOD/SCID mice further demonstrated that SOX2 increased the apoptosis-resistant properties of <e2> DU145 </e2> cells with decreased function of store-operated Ca(2+) entry and reduced expression of <e1> Orai1 </e1> at both mRNA and protein levels, suggesting a potential mechanism that contributes to the anti-apoptotic property of SOX2.	0	Orai1	DU145	Orai1 is connected to gene, human chromosome 12, human chromosome 12, combined immunodeficiency due to ORAI1 deficiency ORAI calcium release-activated calcium modulator 1, ORAT1, Orai1, TMEM142A, . DU145 is connected to cell line, cancer cell line, HLA class I and II genotype of the NCI-60 cell lines, Signatures of mutation and selection in the cancer genome Duke University 145, DU 145, DU.145, DU_145, .
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins <e1> Bcl-XL </e1> and survivin.	0	Bcl-XL	prostate cancer	Bcl-XL is connected to gene, human chromosome 20, human chromosome 20, reverse strand Bcl(X)L, BclX, Bcl2l, Bcl-X, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
[Overexpression of <e1> human tumor metastasis-related gene TMSG-1 </e1> suppresses cell proliferation and invasion of a highly metastatic <e2> prostate cancer </e2> cell line PC-3M-1E8 in vitro].	1	human tumor metastasis-related gene TMSG-1	prostate cancer	human tumor metastasis-related gene TMSG-1 is connected to human food, natural environment, Earth, organisms known by a particular common name human tumor metastasis-related gene TMSG-1, humans, men, people, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and <e1> N-myc downstream regulated gene 1 </e1> in <e2> prostate carcinoma </e2> cells.	1	N-myc downstream regulated gene 1	prostate carcinoma	N-myc downstream regulated gene 1 is connected to gene, mouse chromosome 15, Ndrg1, reverse strand N-myc downstream regulated gene 1, NMSL, Ndrl, RTP, . prostate carcinoma is connected to class of disease, flutamide, flutamide, BRCA2 Prostate cancer, NOS, Prostate Cancer, carcinoma of prostate (disorder), cancer of prostate, .
R-(+) equol and S-(-) equol inhibited motility and invasion in <e2> PC3 </e2> and DU145 cells, while the most strong effect was observed in PC3 cells by R-(+) equol, which might regulated by the activation of <e1> estrogen receptor-alpha </e1> .	1	estrogen receptor-alpha	PC3	estrogen receptor-alpha is connected to acolbifene, ethinylestradiol, 17β-estradiol, droloxifene Estrogen Receptor alpha, estrogen receptor, estrogen nuclear receptor alpha, estrogen receptor alpha E1-E2-1-2, . PC3 is connected to gene, human chromosome 1, human chromosome 1, forward strand APRO1, BTG anti-proliferation factor 2, PC3, BTG family member 2, .
These events result in increased accumulation of <e1> AR </e1> and thus enhanced growth of <e2> prostate cancer </e2> cells at low levels of androgen.	1	AR	prostate cancer	AR is connected to technology, 1280776, AR, virtual reality AR, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
L-mimosine enhanced expression of <e1> Btg2 </e1> and Ndrg1, which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Btg2	PC-3	Btg2 is connected to gene, human chromosome 1, human chromosome 1, forward strand Btg2, APRO1, BTG anti-proliferation factor 2, PC3, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
L-mimosine blocks cell proliferation via upregulation of <e1> B-cell translocation gene 2 </e1> and N-myc downstream regulated gene 1 in <e2> prostate carcinoma </e2> cells.	1	B-cell translocation gene 2	prostate carcinoma	B-cell translocation gene 2 is connected to protein, Protein BTG2, Anti-proliferative protein family, BTG-like domain superfamily protein BTG2, B-cell translocation gene 2, pheochromacytoma cell-3, BTG2, . prostate carcinoma is connected to class of disease, flutamide, flutamide, BRCA2 Prostate cancer, NOS, Prostate Cancer, carcinoma of prostate (disorder), cancer of prostate, .
Overexpression of <e1> PIM-1 </e1> is a potential biomarker in <e2> prostate carcinoma </e2> .	0	PIM-1	prostate carcinoma	PIM-1 is connected to gene, mouse chromosome 17, Pim1, forward strand PIM-1, proviral integration site 1, Pim-1, . prostate carcinoma is connected to class of disease, flutamide, flutamide, BRCA2 Prostate cancer, NOS, Prostate Cancer, carcinoma of prostate (disorder), cancer of prostate, .
Ubiquitous <e1> mitochondrial creatine kinase </e1> is overexpressed in the conditioned medium and the extract of <e2> LNCaP </e2> lineaged androgen independent cell lines and facilitates prostate cancer progression.	1	mitochondrial creatine kinase	LNCaP	mitochondrial creatine kinase is connected to cellular component, creatine kinase complex, mitochondrial protein-containing complex, http://purl.obolibrary.org/obo/GO_0002187 mitochondrial creatine kinase, . LNCaP is connected to cell line, cancer cell line, Comprehensive galectin fingerprinting in a panel of 61 human tumor cell lines by RT-PCR and its implications for diagnostic and therapeutic procedures, The use of multicolor fluorescence technologies in the characterization of prostate carcinoma cell lines: a comparison of multiplex fluorescence in situ hybridization and spectral karyotyping data LNCAP, Ln-Cap, LNCaP, Lymph Node Carcinoma of the prostate, .
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and <e1> miR-183 </e1> , with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-183	BPH	miR-183 is connected to non-coding RNA, gene, human chromosome 7, human chromosome 7 miRNA183, MIRN183, miR-183, microRNA 183, . BPH is connected to class of disease, Armenian Soviet Encyclopedia, Armenian Soviet Encyclopedia, 600.0 Benign Hyperplasia of the Prostate, benign prostatic hyperplasia, BPE, benign adenoma of prostate (disorder), .
These findings suggest that the quinazoline-based doxazosin mediates <e2> prostate cancer </e2> apoptosis by initially inducing the expression of <e1> TGF-beta1 </e1> signalling effectors and subsequently I kappa B alpha.	1	TGF-beta1	prostate cancer	TGF-beta1 is connected to gene, human chromosome 19, human chromosome 19, Camurati-Engelmann disease TGF-beta1, LAP, DPD1, IBDIMDE, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	PDLIM4 mRNA is connected to gene, human chromosome 5, human chromosome 5, forward strand RIL, PDZ and LIM domain 4, PDLIM4 mRNA, . PC3 is connected to gene, human chromosome 1, human chromosome 1, forward strand APRO1, BTG anti-proliferation factor 2, PC3, BTG family member 2, .
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of <e1> miR-98 </e1> , let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-98	BPH	miR-98 is connected to gene, non-coding RNA, human X chromosome, human X chromosome hsa-mir-98, MIRN98, microRNA 98, miR-98, . BPH is connected to class of disease, Armenian Soviet Encyclopedia, Armenian Soviet Encyclopedia, 600.0 Benign Hyperplasia of the Prostate, benign prostatic hyperplasia, BPE, benign adenoma of prostate (disorder), .
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	PDLIM4 mRNA is connected to gene, human chromosome 5, human chromosome 5, forward strand RIL, PDZ and LIM domain 4, PDLIM4 mRNA, . PC3 is connected to gene, human chromosome 1, human chromosome 1, forward strand APRO1, BTG anti-proliferation factor 2, PC3, BTG family member 2, .
These results suggest that TMS may inhibit the cell cycle through induction of p27( <e1> kip1 </e1> ), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	kip1	PC-3	kip1 is connected to gene, human chromosome 12, human chromosome 12, multiple endocrine neoplasia type 4 CDKN4, MEN4, MEN1B, cyclin dependent kinase inhibitor 1B, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of <e1> miR-96 </e1> , miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-96	BPH	miR-96 is connected to non-coding RNA, gene, human chromosome 7, human chromosome 7 hsa-mir-96, DFNA50, microRNA 96, miR-96, . BPH is connected to class of disease, Armenian Soviet Encyclopedia, Armenian Soviet Encyclopedia, 600.0 Benign Hyperplasia of the Prostate, benign prostatic hyperplasia, BPE, benign adenoma of prostate (disorder), .
Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of <e2> prostate cancer </e2> cells by up-regulating the expression of <e1> CRABPI </e1> for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta.	1	CRABPI	prostate cancer	CRABPI is connected to gene, human chromosome 15, human chromosome 15, forward strand CRABP, CRABP-I, CRABPI, cellular retinoic acid binding protein 1, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
<e1> TSPO </e1> expression is increased in prostatic intraepithelial neoplasia, primary <e2> prostate cancer </e2> , and metastases compared with normal prostate tissue and benign prostatic hyperplasia.	0	TSPO	prostate cancer	TSPO is connected to PK-11195, protein, TspO/MBR-related superfamily, Translocator protein PKBS, Peripheral-type benzodiazepine receptor, Mitochondrial benzodiazepine receptor, PBR, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
These results suggest that TMS may inhibit the cell cycle through induction of <e1> p27 </e1> (kip1), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	p27	PC-3	p27 is connected to gene, human chromosome 8, human chromosome 8, forward strand p27, WS-3, dynactin subunit 6, WS3, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, <e1> miR-182 </e1> and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-182	BPH	miR-182 is connected to non-coding RNA, gene, human chromosome 7, human chromosome 7 miRNA182, Mirn182 microRNA, human, mir-182, microRNA 182, . BPH is connected to class of disease, Armenian Soviet Encyclopedia, Armenian Soviet Encyclopedia, 600.0 Benign Hyperplasia of the Prostate, benign prostatic hyperplasia, BPE, benign adenoma of prostate (disorder), .
