sentence	label	e1	e2
<e1> FUS3 </e1> is functionally redundant with KSS1 a homologous yeast protein kinase , for a step(s ) in signal transduction between the beta subunit of the guanine nucleotide binding protein ( G protein ) , <e2> STE4 </e2> , and the mating type - specific transcriptional activator , STE12 .	0	FUS3	STE4
CLB1 and <e1> CLB2 </e1> mRNA levels peak late in the cell cycle , whereas <e2> CLB3 </e2> and CLB4 are expressed earlier in the cell cycle but peak later than the G1 - specific cyclin , CLN1 .	0	CLB2	CLB3
The morphological and nutritional defects associated with loss of the <e1> CAP </e1> C- terminal domain are suppressed by over - expression of <e2> PFY </e2> , the gene encoding profilin an actin- and polyphosphoinositide - binding protein .	0	CAP	PFY
The SPT4 , SPT5 and SPT6 genes of Saccharomyces cerevisiae were identified originally by mutations that suppress delta insertion mutations at <e1> HIS4 </e1> and <e2> LYS2 </e2> .	0	HIS4	LYS2
<e1> SLY2 </e1> and <e2> SLY12 </e2> encode proteins with hydrophobic tails similar to synaptobrevins , integral membrane proteins of synaptic vesicles in higher eucaryotes .	0	SLY2	SLY12
We propose that <e1> ste6 </e1> and <e2> CDC25 </e2> activate Ras protein through a common mechanism , perhaps by promoting GDP - GTP exchange , even though it seems that the function of Ras protein in budding yeast differs from that in fission yeast .	0	ste6	CDC25
Interestingly , a portion of the <e1> eIF- 2 </e1> present in cell extracts also cofractionated and coimmunoprecipitated with these regulatory proteins but was dissociated from the GCD1 / GCD2 / <e2> GCN3 </e2> complex by 0.5 M KCl .	0	eIF- 2	GCN3
U2 small nuclear ribonucleoprotein auxiliary factor ( U2AF ) , an essential mammalian splicing factor , is composed of two subunits : a 65 - kDa protein <e1> U2AF65 </e1> , which binds the pre-mRNA polypyrimidine tract and is required for in vitro splicing , and an associated 35 - kDa protein <e2> U2AF35 </e2> .	0	U2AF65	U2AF35
The gene <e1> SCM4 </e1> encodes a protein which suppresses a temperature - sensitive allele of the cell division cycle gene <e2> CDC4 </e2> in Saccharomyces cerevisiae .	0	SCM4	CDC4
We show here that a related 66 kd kinase , called <e1> mik1 </e1> acts redundantly with <e2> wee1 </e2> in the negative regulation of cdc2 in S. pombe .	0	mik1	wee1
Both <e1> RNR1 </e1> and <e2> RNR3 </e2> transcripts are inducible by treatments that damage DNA , such as 4 - nitroquinoline - 1 - oxide and methylmethanesulfonate , or block DNA replication , such as hydroxyurea .	0	RNR1	RNR3
The kinetics of association between CD4 or <e1> CD8 </e1> and <e2> CD45 </e2> was measured by fluorescence resonance energy transfer and confirmed by immunoprecipitation of dithiobis succinimidylpropionate or disuccinimidyl suberate cross - linked 125I - labeled resting or activated T cells .	0	CD8	CD45
The <e1> SPT4 </e1> , <e2> SPT5 </e2> and SPT6 genes of Saccharomyces cerevisiae were identified originally by mutations that suppress delta insertion mutations at HIS4 and LYS2 .	0	SPT4	SPT5
We recently cloned the 85 - kDa subunit of PI 3- kinase <e1> p85 </e1> from a lambda gt11 expression library , using the tyrosine - phosphorylated carboxy terminus of the epidermal growth factor <e2> EGF </e2> receptor as a probe ( E. Y. Skolnik , B. Margolis , M. Mohammadi , E. Lowenstein , R. Fischer , A. Drepps , A. Ullrich , and J. Schlessinger , Cell 65:83 -90 , 1991 ) .	0	p85	EGF
CD19 and <e1> CD21 </e1> mAb each specifically coprecipitated proteins of the same size as those precipitated by TAPA- 1 and <e2> Leu- 13 </e2> mAb from B cell lines and cDNA - transfected K562 cell lines .	0	CD21	Leu- 13
A complex formed with human <e1> TFIID </e1> and TFIIA ( DA complex ) was specifically recognized by <e2> TFIIB </e2> .	0	TFIID	TFIIB
Mutants defective in the mitotic initiation genes cdc2 <e1> cdc25 </e1> and <e2> cdc13 </e2> were blocked in meiosis II .	0	cdc25	cdc13
Sequence analysis indicates that all these SED genes encode membrane proteins : <e1> SED1 </e1> encodes a probable cell surface glycoprotein ; SED2 is identical to SEC12 , a gene required for the formation of ER - derived transport vesicles ; SED4 encodes a protein whose cytoplasmic domain is 45 % identical to that of Sec12 p ; <e2> SED3 </e2> is DPM1 the structural gene for dolichol - P- mannose synthase .	0	SED1	SED3
We show that suppression of rad6 delta is dependent on the RAD52 recombinational repair pathway since suppression is not observed in the rad6 delta SRS2 strain containing an additional mutation in either the RAD51 , RAD52 , RAD54 , <e1> RAD55 </e1> or <e2> RAD57 </e2> genes .	0	RAD55	RAD57
Combinations of the TPM1 disruption with <e1> sec13 </e1> or sec18 mutations , which affect early steps in the secretory pathway , block vesicle accumulation , while combinations with sec1 , sec4 or <e2> sec6 </e2> mutations , which affect a late step in the secretory pathway , have no effect on the vesicle accumulation .	0	sec13	sec6
Deletion and site - directed mutagenesis of sequences upstream of the p25 gene demonstrated that the AP - 1 site as well as the palindrome sequence are crucial for transcriptional activation either by <e1> pap1 </e1> overproduction or by the cold - sensitive <e2> crm1 </e2> mutation ; pap1 + is apparently negatively regulated by crm1 + .	1	pap1	crm1
Like the S. pombe <e1> ras1 </e1> gene , <e2> ste6 </e2> is essential for mating .	0	ras1	ste6
Our observations suggest that synergistic signaling provided as a consequence of <e1> CD4 </e1> or <e2> CD8 </e2> association with the TCR after antigenic stimulation may develop on a different temporal scale than that observed after soluble anti-CD4 + anti-CD3 heteroconjugate antibody cross-linking .	0	CD4	CD8
In cells containing a deletion of <e1> TRK1 </e1> transcription levels of <e2> TRK2 </e2> are extremely low and are limiting for growth in media containing low levels of K+ ( Trk- phenotype ) .	0	TRK1	TRK2
In contrast , association between <e1> CD8 </e1> and CD45 during an MLR response did not occur until day 6 of a MLR whereas <e2> CD4 </e2> CD45 association was detected by 72 h of culture .	0	CD8	CD4
Casein kinase II of Saccharomyces cerevisiae contains two distinct catalytic subunits , alpha and alpha ' , which are encoded by the <e1> CKA1 </e1> and <e2> CKA2 </e2> genes , respectively .	0	CKA1	CKA2
Strains lacking the A form of <e1> eIF- 5A </e1> constructed by disruption of <e2> TIF51A </e2> with LEU2 , grow slowly , whereas strains lacking the B form , in which HIS3 was used to disrupt TIF51 B show no growth rate phenotype .	0	eIF- 5A	TIF51A
In addition , <e1> SRP9 </e1> and <e2> SRP14 </e2> synthesized in vitro from synthetic mRNAs derived from their cDNA clones restore elongation arrest activity to SRP ( - 9/14 ) .	0	SRP9	SRP14
The implication of these findings for lipoprotein catabolism in vivo may be important if <e1> LRP </e1> binding is preserved when <e2> LPL </e2> is attached to lipoproteins .	1	LRP	LPL
These genes form two classes based on sequence relatedness : <e1> CLB1 </e1> and CLB2 show highest homology to the Schizosaccharomyces pombe cyclin- B homolog cdc13 involved in the initiation of mitosis , whereas CLB3 and <e2> CLB4 </e2> are more highly related to the S. pombe cyclin- B homolog cig1 , which appears to play a role in G1 or S phase .	0	CLB1	CLB4
These results suggest that <e1> GCD1 </e1> is required for an essential function involving <e2> eIF- 2 </e2> at a late step in the translation initiation cycle .	1	GCD1	eIF- 2
Phosphoserine / phosphothreonine but not phosphotyrosine residues on <e1> BCR </e1> are required for interaction with the <e2> ABL </e2> SH2 domain .	0	BCR	ABL
The sequence of the <e1> POB1 </e1> gene indicates that it is identical to the <e2> CTF4 </e2> CHL15 gene identified previously in screens for mutations that diminish the fidelity of chromosome transmission .	0	POB1	CTF4
Sequence analysis indicates that all these SED genes encode membrane proteins : SED1 encodes a probable cell surface glycoprotein ; <e1> SED2 </e1> is identical to SEC12 , a gene required for the formation of ER - derived transport vesicles ; SED4 encodes a protein whose cytoplasmic domain is 45 % identical to that of Sec12 p ; SED3 is <e2> DPM1 </e2> the structural gene for dolichol - P- mannose synthase .	0	SED2	DPM1
Genetic selections uncovered three Saccharomyces cerevisiae genes ( <e1> SEC61 </e1> , SEC62 and <e2> SEC63 </e2> , mutations in which block import of precursor proteins into the ER lumen in vivo and in vitro .	0	SEC61	SEC63
Combinations of the TPM1 disruption with <e1> sec13 </e1> or sec18 mutations , which affect early steps in the secretory pathway , block vesicle accumulation , while combinations with sec1 , <e2> sec4 </e2> or sec6 mutations , which affect a late step in the secretory pathway , have no effect on the vesicle accumulation .	0	sec13	sec4
Using the two - hybrid system , a genetic screen for the identification of protein - protein interactions , we have isolated a gene encoding a <e1> RAP1 </e1> interacting factor <e2> RIF1 </e2> .	0	RAP1	RIF1
It can be prevented by rearing the flies in the dark or by blocking the receptor potential with a no-receptor - potential mutation , <e1> norpA </e1> Vitamin A deprivation and genetic elimination of the lysosomal enzyme acid phosphatase alsoprotect the photoreceptors of <e2> rdgB </e2> flies against light - induced damage .	0	norpA	rdgB
Taken together , these analyses suggest that <e1> CLB1 </e1> and <e2> CLB2 </e2> are crucial for mitotic induction , whereas CLB3 and CLB4 might participate additionally in DNA replication and spindle assembly .	1	CLB1	CLB2
The viability of cells containing null mutations in both <e1> TRK1 </e1> and <e2> TRK2 </e2> reveals the existence of an additional , functionally independent potassium transporter (s ) .	0	TRK1	TRK2
The level of coprecipitable <e1> RAD1 </e1> and <e2> RAD10 </e2> increased when both proteins were overproduced together , but not if only one of the proteins was overproduced .	1	RAD1	RAD10
Combinations of the TPM1 disruption with sec13 or sec18 mutations , which affect early steps in the secretory pathway , block vesicle accumulation , while combinations with <e1> sec1 </e1> , <e2> sec4 </e2> or sec6 mutations , which affect a late step in the secretory pathway , have no effect on the vesicle accumulation .	0	sec1	sec4
Possible mechanisms by which <e1> SRS2 </e1> may channel unrepaired DNA lesions into the <e2> RAD52 </e2> DNA repair pathway are discussed .	0	SRS2	RAD52
Consistent with this hypothesis , <e1> EXA3 </e1> - 1 is tightly linked to <e2> HSF1 </e2> , the gene encoding the transcriptional regulatory protein known as heat shock factor .	0	EXA3	HSF1
Interaction with various mutants and plasmid overexpression experiments suggest that <e1> stf1 </e1> does not operate either upstream or downstream of <e2> wee1 </e2> Similarly , it does not operate through cdc25 since it rescues the disruption .	0	stf1	wee1
Another gene , CLB3 , was cloned using PCR , <e1> CLB1 </e1> and <e2> CLB2 </e2> encode a pair of closely related proteins ; CLB3 and CLB4 encode a second pair .	0	CLB1	CLB2
The <e1> nod </e1> ( no distributive disjunction ) and the <e2> ncd </e2> ( non-claret disjunctional ) mutations are both female - specific , recessive meiotic mutations in Drosophila melanogaster .	0	nod	ncd
Interaction with various mutants and plasmid overexpression experiments suggest that stf1 does not operate either upstream or downstream of <e1> wee1 </e1> Similarly , it does not operate through <e2> cdc25 </e2> since it rescues the disruption .	0	wee1	cdc25
This protein , <e1> HB16 </e1> displays structural similarity to CREB and to <e2> c- Jun </e2> and c - Fos , which bind the related 12 - O - tetradecanoylphorbol - 13 - acetate response element ( TRE ) .	0	HB16	c- Jun
<e1> Byr3 </e1> was selected as a multicopy suppressor of the sporulation defects of diploid Schizosaccharomyces pombe cells that lack <e2> ras1 </e2>	0	Byr3	ras1
Two of the genes , <e1> PPH21 </e1> and PPH22 encode highly similar proteins that are homologs of the mammalian protein phosphatase 2A ( PP2A ) , while the third gene , <e2> PPH3 </e2> , encodes a new PP2A - related protein .	0	PPH21	PPH3
Another gene , CLB3 , was cloned using PCR , CLB1 and <e1> CLB2 </e1> encode a pair of closely related proteins ; CLB3 and <e2> CLB4 </e2> encode a second pair .	0	CLB2	CLB4
Taken together , these genetic and biochemical results indicate that SPT4 , <e1> SPT5 </e1> and <e2> SPT6 </e2> function together in a transcriptional process that is essential for viability in yeast .	1	SPT5	SPT6
BEM1 maps centromere distal to <e1> TYR1 </e1> on chromosome II , and <e2> BEM2 </e2> maps between SPT15 and STP2 on chromosome V .	0	TYR1	BEM2
FUS3 is also required for vegetative growth in haploid strains dependent upon <e1> CLN3 </e1> for cell cycle progression but is not required in strains dependent upon either CLN1 or <e2> CLN2 </e2> , suggesting a functional divergence among the three G1 cyclins .	0	CLN3	CLN2
Overexpression of <e1> SRP54 </e1> p suppresses both growth and protein translocation defects in <e2> sec65 </e2> - 1 mutant cells .	1	SRP54	sec65
Overproduction of either <e1> BET1 </e1> or <e2> BOS1 </e2> suppresses the growth and secretory defects of the sec22 - 3 mutant over a wide range of temperatures .	0	BET1	BOS1
Expression of <e1> CNBP </e1> in yeast can partially suppress conjugation defects of cells lacking <e2> byr3 </e2> .	1	CNBP	byr3
Incubation of a temperature - sensitive gcdl - 101 mutant at the restrictive temperature led to a rapid reduction in the average size and quantity of polysomes , plus an accumulation of inactive 80S ribosomal couples ; in addition , excess amounts of eIF- 2 alpha , GCD1 <e1> GCD2 </e1> and <e2> GCN3 </e2> were found comigrating with free 40S ribosomal subunits .	0	GCD2	GCN3
Overexpression of the STE4 gene product also suppressed the sterility of cells defective in the mating pheromone receptors encoded by the <e1> STE2 </e1> and <e2> STE3 </e2> genes .	0	STE2	STE3
The RAS1 and <e1> RAS2 </e1> proteins overexpressed in ira mutants accumulated in the GTP - bound form , whereas in the wild - type strain the proteins were found mostly in the GDP - bound form , indicating that <e2> IRA1 </e2> and IRA2 negatively regulate the level of RAS - GTP .	0	RAS2	IRA1
There is also a component of HOT1 activity that is independent of both <e1> RAD1 </e1> and <e2> RAD52 </e2>	0	RAD1	RAD52
Mutations in the cyclophilin homolog <e1> ninaA </e1> lead to a 90 % reduction in Rh1 <e2> opsin </e2> Cyclophilins have been shown to be peptidyl - prolyl cis-trans isomerases and have been implicated in catalyzing protein folding .	1	ninaA	opsin
In vivo depletion of <e1> SPP91 </e1> in a <e2> prp9- 1 </e2> genetic background is lethal and is associated with reduced amounts of spliced mRNA and accumulation of pre-mRNA .	1	SPP91	prp9- 1
Five Src-related <e1> PTKs </e1> were detected in platelets : pp60SRC , pp60FYN , pp62YES , pp61HCK , and two <e2> LYN </e2> products of Mr 54,000 and 58,000 .	0	PTKs	LYN
Like cells mutant at byr1 and byr2 , two genes that encode putative protein kinases and that in multiple copies are also suppressors of the sporulation defects of <e1> ras1 </e1> null diploid cells , cells mutant at <e2> byr3 </e2> are viable but defective in conjugation .	0	ras1	byr3
<e1> p62 </e1> is a tyrosine phosphoprotein that associates with p21ras GTPase - activating protein <e2> GAP </e2> .	0	p62	GAP
The <e1> RAS1 </e1> and RAS2 proteins overexpressed in ira mutants accumulated in the GTP - bound form , whereas in the wild - type strain the proteins were found mostly in the GDP - bound form , indicating that IRA1 and <e2> IRA2 </e2> negatively regulate the level of RAS - GTP .	0	RAS1	IRA2
Here we report that four newly discovered suppressors of YPT1 deletion ( SLY1- 20 , <e1> SLY2 </e1> , <e2> SLY12 </e2> and SLY41 ) to a varying degree restore ER - to - Golgi transport defects in cells lacking Ypt1 p .	0	SLY2	SLY12
Two of them were identical with <e1> CDC42 </e1> and <e2> BEM1 </e2> , bud site assembly genes involved in the process of bud emergence .	0	CDC42	BEM1
Previous genetic studies suggested that GCD1 <e1> GCD2 </e1> and <e2> GCN3 </e2> have closely related functions in the regulation of GCN4 expression that involve translation initiation factor 2 ( eIF - 2 ) .	0	GCD2	GCN3
Taken together , these analyses suggest that CLB1 and <e1> CLB2 </e1> are crucial for mitotic induction , whereas <e2> CLB3 </e2> and CLB4 might participate additionally in DNA replication and spindle assembly .	0	CLB2	CLB3
In addition , the presence of multiple copies of wild - type <e1> GLC7 </e1> impairs the derepression of <e2> GCN4 </e2> that occurs in response to amino acid starvation or dominant - activating mutations in GCN2	1	GLC7	GCN4
The molecules that co-precipitated with either CD4 or <e1> CD8 </e1> and had an apparent kDa of 180 to 205 could be immunodepleted with anti <e2> CD45 </e2> mAb.	0	CD8	CD45
Strong phosphorylation by <e1> CKII </e1> was detected with the fused protein of wild - type <e2> N- myc </e2> However , no phosphorylation of beta - galactosidase itself was observed and the phosphorylations of fused mutant proteins were low .	1	CKII	N- myc
Swiss 3T3 fibroblasts express both <e1> TSP1 </e1> and <e2> TSP2 </e2> and , therefore , an important question is whether TSP in such cells is expressed as homotrimers or as heterotrimers .	0	TSP1	TSP2
Sequence analysis indicates that all these SED genes encode membrane proteins : SED1 encodes a probable cell surface glycoprotein ; SED2 is identical to <e1> SEC12 </e1> , a gene required for the formation of ER - derived transport vesicles ; <e2> SED4 </e2> encodes a protein whose cytoplasmic domain is 45 % identical to that of Sec12 p ; SED3 is DPM1 the structural gene for dolichol - P- mannose synthase .	0	SEC12	SED4
<e1> SF </e1> and <e2> HGF </e2> cDNA clones from human fibroblasts , placenta and liver had virtually identical sequences .	0	SF	HGF
<e1> GCN2 </e1> stimulates <e2> GCN4 </e2> synthesis at the translational level by phosphorylating the alpha subunit of eukaryotic translation initiation factor 2 ( eIF - 2 ) .	0	GCN2	GCN4
It is proposed that the normal <e1> norpA </e1> gene codes for a product which , when activated , leads to the receptor potential , and which is inactivated by the product of the normal <e2> rdgB </e2> gene .	1	norpA	rdgB
As shown by immunoblot analysis , the <e1> GAL1 </e1> mediated induction exhibits phosphorylation of the GAL4 protein , suggesting a mechanism similar to <e2> GAL3 </e2> mediated induction .	1	GAL1	GAL3
RPD3 is required for both full repression and full activation of transcription of target genes including <e1> PHO5 </e1> , STE6 , and <e2> TY2 </e2> .	0	PHO5	TY2
Polyclonal antibodies directed against C5 c blocked the interaction of <e1> C5 b </e1> 6 with C7 whereas antibodies directed against C5d inhibited the binding of <e2> C5 </e2> with C3b .	0	C5 b	C5
No specific binding of 125I <e1> CD59 </e1> was detected for surface - adsorbed human C5b6 or C7 nor was such binding observed for C8 or <e2> C9 </e2> isolated from rabbit serum .	0	CD59	C9
FUS3 is functionally redundant with <e1> KSS1 </e1> a homologous yeast protein kinase , for a step(s ) in signal transduction between the beta subunit of the guanine nucleotide binding protein ( G protein ) , <e2> STE4 </e2> , and the mating type - specific transcriptional activator , STE12 .	0	KSS1	STE4
Interaction between <e1> RAD6 </e1> and <e2> RAD52 </e2> genes was epistatic for low bleomycin concentrations .	1	RAD6	RAD52
Subsequent analysis has demonstrated that <e1> spt4 </e1> , spt5 and <e2> spt6 </e2> mutations confer similar pleiotropic phenotypes .	0	spt4	spt6
<e1> MSN1 </e1> gene dosage does not affect <e2> SNF1 </e2> protein kinase activity in vitro .	0	MSN1	SNF1
This view is supported by the finding that most monoclonal antibodies directed at the <e1> CD45 </e1> molecules are strongly co-mitogenic with CD2 but not <e2> CD3 </e2> monoclonal antibodies .	0	CD45	CD3
Combinations of the TPM1 disruption with sec13 or <e1> sec18 </e1> mutations , which affect early steps in the secretory pathway , block vesicle accumulation , while combinations with sec1 , <e2> sec4 </e2> or sec6 mutations , which affect a late step in the secretory pathway , have no effect on the vesicle accumulation .	0	sec18	sec4
The probability that the distributive system will fail is enhanced in females simultaneously haploinsufficient at the <e1> nod </e1> and <e2> ncd </e2> loci .	0	nod	ncd
The <e1> MDH3 </e1> isozyme of Saccharomyces cerevisiae was purified from a haploid strain containing disruptions in genomic loci encoding the mitochondrial <e2> MDH1 </e2> and nonmitochondrial MDH2 isozymes .	0	MDH3	MDH1
GCD factors are thought to be antagonized by the positive regulators <e1> GCN1 </e1> , GCN2 and GCN3 in amino acid-starved cells to allow for increased <e2> GCN4 </e2> protein synthesis .	0	GCN1	GCN4
CD19 and CD21 mAb each specifically coprecipitated proteins of the same size as those precipitated by <e1> TAPA- 1 </e1> and <e2> Leu- 13 </e2> mAb from B cell lines and cDNA - transfected K562 cell lines .	0	TAPA- 1	Leu- 13
Mutations in RAD1 and RAD52 decrease the ability of HOT1 to stimulate intrachromosomal recombination while mutations in <e1> RAD4 </e1> and <e2> RAD50 </e2> do not affect HOT1 activity .	0	RAD4	RAD50
The <e1> PET122 </e1> protein is one of three Saccharomyces cerevisiae nuclear gene products required specifically to activate translation of the mitochondrially coded <e2> COX3 mRNA </e2> .	0	PET122	COX3 mRNA
The microtubule organizing centers of arrested cells were duplicated but unseparated , indicating that <e1> KIP1 </e1> or <e2> CIN8 </e2> is required for mitotic spindle assembly .	1	KIP1	CIN8
<e1> NSP116 </e1> and <e2> NSP49 </e2> , tagged with the IgG binding domain of protein A and expressed in yeast , are located at the nuclear envelope .	0	NSP116	NSP49
Here , antibodies raised against fusion constructs encompassing specific regions of the <e1> ALS </e1> and <e2> ARD </e2> proteins were used to investigate a potential association of these two polypeptides .	0	ALS	ARD
This conclusion is supported by biochemical studies showing that the truncated <e1> GLC7 </e1> allele increases the level of <e2> eIF- 2 alpha </e2> phosphorylation in the gcn2-507 mutant to a level approaching that seen in wild - type cells under starvation conditions .	0	GLC7	eIF- 2 alpha
Homologues of <e1> ste6 </e1> and <e2> CDC25 </e2> could regulate ras activity in other eukaryotic cells .	0	ste6	CDC25
<e1> TRK2 </e1> is nonessential in <e2> TRK1 </e2> or trk1 delta haploid cells .	1	TRK2	TRK1
However , <e1> GPA1Val50 </e1> cells do not recover from division arrest in the absence of both <e2> CLN1 </e2> and CLN3 which encode G1 cyclins , indicating that the recovery - promoting activity of GPA1 Val50 requires the function of G1 cyclins .	0	GPA1Val50	CLN1
FUS3 is also required for vegetative growth in haploid strains dependent upon <e1> CLN3 </e1> for cell cycle progression but is not required in strains dependent upon either <e2> CLN1 </e2> or CLN2 , suggesting a functional divergence among the three G1 cyclins .	0	CLN3	CLN1
Moreover , non-B cells ( mouse L- cell fibroblasts and human Jurkat T cells ) expressing a transfected human <e1> CD72 </e1> complementary DNA could bind to the <e2> CD5 </e2> biotin conjugate .	0	CD72	CD5
The enzyme consists of two nonidentical subunits that are encoded by the nuclear genes <e1> MAS1 </e1> and <e2> MAS2 </e2>	0	MAS1	MAS2
The cAMP level reaches 20 times as high as the wild - type level if a cell carries both this type of <e1> gpa2 </e1> mutation and a null mutation in <e2> pde1 </e2> encoding phosphodiesterase .	1	gpa2	pde1
Also , like wee1 and <e1> cdc2-w </e1> , stf1 suppression of <e2> cdc25 </e2> is reversed by overexpression of the putative type 1 protein phosphatase bws1+/dis2 +.	0	cdc2-w	cdc25
The truncated form of <e1> GLC7 </e1> does not suppress the regulatory defect associated with a gcn2 deletion or a mutation in the phosphorylation site of <e2> eIF- 2 alpha </e2> ( Ser - 51 ) .	0	GLC7	eIF- 2 alpha
