sentence	label	e1	e2	evs
L-mimosine blocks cell proliferation via upregulation of <e1> B-cell translocation gene 2 </e1> and N-myc downstream regulated gene 1 in <e2> prostate carcinoma </e2> cells.	1	B-cell translocation gene 2	prostate carcinoma	B-cell translocation gene 2/mb is connected to prostate carcinoma via the following relation paths: MBOAT7 regulates EIF4EBP1, Testosterone Propionate downregulates EIF4EBP1, Testosterone Propionate causes Prostate carcinoma
Overexpression of <e1> PIM-1 </e1> is a potential biomarker in <e2> prostate carcinoma </e2> .	0	PIM-1	prostate carcinoma	PIM-1/pim1 is connected to prostate carcinoma via the following relation paths: PIM1 regulates MRPS2, Paroxetine downregulates MRPS2, Paroxetine causes Prostate carcinoma
Ubiquitous <e1> mitochondrial creatine kinase </e1> is overexpressed in the conditioned medium and the extract of <e2> LNCaP </e2> lineaged androgen independent cell lines and facilitates prostate cancer progression.	1	mitochondrial creatine kinase	LNCaP	
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and <e1> miR-183 </e1> , with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-183	BPH	
These findings suggest that the quinazoline-based doxazosin mediates <e2> prostate cancer </e2> apoptosis by initially inducing the expression of <e1> TGF-beta1 </e1> signalling effectors and subsequently I kappa B alpha.	1	TGF-beta1	prostate cancer	TGF-beta1/tgfb1 is connected to prostate cancer via the following relation paths: TGFB1I1 regulates KLF6, prostate cancer associates with KLF6
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	PDLIM4 mRNA/pdlim4 is connected to PC3/prostate cancer via the following relation paths: PDLIM4 covaries with NPDC1, Imatinib downregulates NPDC1, Imatinib causes Prostate cancer
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of <e1> miR-98 </e1> , let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-98	BPH	miR-98/irf9 is connected to BPH/prostate cancer via the following relation paths: IRF9 regulates FGFR2, prostate cancer associates with FGFR2
<e1> PDLIM4 mRNA </e1> and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and <e2> PC3 </e2> prostate cancer cells.	0	PDLIM4 mRNA	PC3	PDLIM4 mRNA/pdlim4 is connected to PC3/prostate cancer via the following relation paths: testis expresses PDLIM4, prostate cancer localizes in testis
These results suggest that TMS may inhibit the cell cycle through induction of p27( <e1> kip1 </e1> ), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	kip1	PC-3	kip1/akip1 is connected to PC-3/prostate cancer via the following relation paths: Alzheimer's disease upregulates AKIP1, Ropinirole palliates Alzheimer's disease, Ropinirole causes Prostate cancer
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of <e1> miR-96 </e1> , miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-96	BPH	miR-96/march6 is connected to BPH/prostate cancer via the following relation paths: gonad expresses MARCH6, hematologic cancer localizes in gonad, Lenalidomide treats hematologic cancer, Lenalidomide causes Prostate cancer metastatic
Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of <e2> prostate cancer </e2> cells by up-regulating the expression of <e1> CRABPI </e1> for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta.	1	CRABPI	prostate cancer	CRABPI/crabp1 is connected to prostate cancer via the following relation paths: prostate gland expresses CRABP1, prostate cancer localizes in prostate gland
<e1> TSPO </e1> expression is increased in prostatic intraepithelial neoplasia, primary <e2> prostate cancer </e2> , and metastases compared with normal prostate tissue and benign prostatic hyperplasia.	0	TSPO	prostate cancer	TSPO is connected to prostate cancer via the following relation paths: Clonazepam binds TSPO, Clonazepam causes Abnormal dreams, Lenalidomide causes Abnormal dreams, Lenalidomide causes Prostate cancer metastatic
These results suggest that TMS may inhibit the cell cycle through induction of <e1> p27 </e1> (kip1), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	p27	PC-3	p27/usp27x is connected to PC-3/prostate cancer via the following relation paths: USP27X participates in proteolysis involved in cellular protein catabolic process, CTSB participates in proteolysis involved in cellular protein catabolic process, prostate cancer associates with CTSB
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, <e1> miR-182 </e1> and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-182	BPH	miR-182/gpr182 is connected to BPH/prostate cancer via the following relation paths: GPR182 participates in response to decreased oxygen levels, PTEN participates in response to decreased oxygen levels, prostate cancer associates with PTEN
