sentence	label	e1	e2
We critically review the recent advances in <e2> prostate cancer </e2> immunohistochemistry, including the introduction of newer basal cell markers such as p63 and the discovery of the overexpression of <e1> alpha-methylacyl coenzyme A racemase </e1> (AMACR) in prostate cancer.	0	alpha-methylacyl coenzyme A racemase	prostate cancer
The overexpressed <e1> GRB7 </e1> (P = 0.009) and GRB7v (P = 0.017) were significantly correlated with high-grade <e2> ovarian cancer </e2> .	0	GRB7	ovarian cancer
Consistently, <e1> PI3-kinase </e1> inhibition with a dominant-negative mutant or MAPK/ERK activation with a gain-of-function mutant reduced MMP-9 levels and prevented migration and invasion in wild-type <e2> PC-3 </e2> cells.	1	PI3-kinase	PC-3
Overexpression of <e1> HER2 </e1> has independent prognostic significance in early <e2> breast cancer </e2> and may also predict response to hormonal and cytotoxic therapies, although this latter role is less well studied.	0	HER2	breast cancer
Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins ( <e1> albumin </e1> , alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with <e2> prostatic cancer </e2> prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy.	0	albumin	prostatic cancer
Exogenous uMtCK in <e2> LNCaP </e2> cells surprisingly contributed to overproduction of <e1> ROS </e1> , activation of Akt signaling pathway and more aggressive phenotypes including androgen independence development.	0	ROS	LNCaP
These findings suggest that inhibition of <e1> COX-2 </e1> development may lead not only to inhibition of the proliferation and metastasis of <e2> prostate carcinoma </e2> but also to the inhibition of prostate carcinogenesis.	1	COX-2	prostate carcinoma
In <e2> MCF-7 </e2> , an increase in <e1> Bad </e1> and Bax protein expression and a decrease in Bcl-x(L) protein and Bcl-2 protein and mRNA were observed.	0	Bad	MCF-7
The preferential up-regulation of <e1> PyNPase </e1> activity in the tumor by CPA administration was also confirmed in mice bearing a syngeneic murine <e2> mammary adenocarcinoma </e2> , A755.	0	PyNPase	mammary adenocarcinoma
We found that <e1> IGF-IR </e1> overexpression markedly stimulated aggregation in E-cad-positive <e2> MCF-7 </e2> breast cancer cells, but not in E-cad-negative MDA-MB-231 cells.	0	IGF-IR	MCF-7
While expression of <e1> Bcl-2 </e1> , Bcl-X(L), Hsp 70 and 90 was increased, expression of Bax and caspases 8 and 3 was significantly lower in both human as well as canine <e2> mammary tumor </e2> tissues compared to corresponding adjacent tissues.	0	Bcl-2	mammary tumor
<e1> SCARA3 mRNA </e1> is overexpressed in ovarian carcinoma compared with <e2> breast carcinoma </e2> effusions.	0	SCARA3 mRNA	breast carcinoma
Overexpression of <e1> p45-sErbB3 </e1> in the osteolytic prostate cancer cell line <e2> PC-3 </e2> converted its phenotype from bone lysing to bone forming upon injection into the femurs of immunodeficient mice.	0	p45-sErbB3	PC-3
Arsenite induces HIF-1alpha and <e1> VEGF </e1> through PI3K, Akt and reactive oxygen species in <e2> DU145 </e2> human prostate carcinoma cells.	0	VEGF	DU145
Specific inhibition of <e1> AKT2 </e1> by RNA interference results in reduction of <e2> ovarian cancer </e2> cell proliferation: increased expression of AKT in advanced ovarian cancer.	1	AKT2	ovarian cancer
Epidermal growth factor (EGF) and hepatocyte growth factor ( <e1> HGF </e1> ) are often both overexpressed and contribute to the growth of <e2> ovarian cancer </e2> by activating autocrine pathways.	1	HGF	ovarian cancer
Elucidating the molecular events resulting from loss of <e1> AP-2 </e1> in the prostate epithelium has implications for the understanding and prevention of the onset of <e2> prostate cancer </e2> .	0	AP-2	prostate cancer
The differentiation-related gene 1, <e1> Drg1 </e1> , is markedly upregulated by androgens in <e2> LNCaP </e2> prostatic adenocarcinoma cells.	0	Drg1	LNCaP
Established miR-21 targets PTEN and <e1> PDCD4 </e1> were reduced in ERalpha46-transfected, E(2)-treated <e2> MCF-7 </e2> cells.	0	PDCD4	MCF-7
Tight junction proteins <e1> claudin-3 </e1> and claudin-4 are frequently overexpressed in <e2> ovarian cancer </e2> but not in ovarian cystadenomas.	0	claudin-3	ovarian cancer
<e1> ErbB2 </e1> overexpression in <e2> breast tumors </e2> results in increased metastasis and angiogenesis and reduced survival.	1	ErbB2	breast tumors
Arsenite induces HIF-1alpha and VEGF through PI3K, <e1> Akt </e1> and reactive oxygen species in <e2> DU145 </e2> human prostate carcinoma cells.	0	Akt	DU145
Conversely, enforced expression of <e1> MKP3 </e1> in MKP3-deficient <e2> ovarian cancer </e2> cells significantly reduced ERK1/2 activity and inhibited cell proliferation, anchorage-independent growth ability and tumor development in nude mice.	1	MKP3	ovarian cancer
<e1> Smad3 </e1> is overexpressed in advanced human <e2> prostate cancer </e2> and necessary for progressive growth of prostate cancer cells in nude mice.	1	Smad3	prostate cancer
Pharmacological demethylation/deacetylation in <e2> ovarian cancer </e2> cell lines re-induced <e1> CCBE1 </e1> expression, indicating that epigenetic mechanisms contribute to its silencing in cancer.	0	CCBE1	ovarian cancer
AGR2 knockdown induced cell death in <e2> ZR-75-1 </e2> and T47 D cells, and also downregulated <e1> survivin </e1> and c-Myc.	0	survivin	ZR-75-1
No correlation could be seen between the histology of the <e2> ovarian tumours </e2> and the elevation of <e1> MMP-2/9 </e1> activity.	0	MMP-2/9	ovarian tumours
Clinical data showed that the levels of <e1> interleukin-4 </e1> (IL-4) are significantly elevated in serum of patients with ablation resistant <e2> prostate cancer </e2> .	0	interleukin-4	prostate cancer
Germline and somatic mutations, loss of heterozygosity (LOH), and epigenetic events such as promoter hypermethylation can lead to decreased expression of <e1> BRCA1/2 </e1> in <e2> ovarian cancers </e2> .	0	BRCA1/2	ovarian cancers
The oncogene <e1> Bcl-2 </e1> is upregulated frequently in <e2> prostate tumors </e2> following androgen ablation therapy, and Bcl-2 overexpression may contribute to the androgen-refractory relapse of the disease.	1	Bcl-2	prostate tumors
In <e2> MCF-7 </e2> , mimicking E2, T3 stimulated growth in a dose-dependent (10(10) M - 10(-8) M) manner, induced the expression of progesterone receptor and <e1> growth factor TGFalpha mRNAs </e1> and inhibited that of TGFbeta mRNA; T3 also increased progesterone binding and LDH5 isozyme activities.	0	growth factor TGFalpha mRNAs	MCF-7
Targeting and down-regulation of <e1> ErbB2 </e1> , a member of EGF receptor family, is regarded as one of the key aspect for cancer treatment because it is often overexpressed in breast and <e2> ovarian cancer </e2> cells.	0	ErbB2	ovarian cancer
<e2> Ovarian carcinoma </e2> and breast carcinoma cells which are multiply drug resistant due to overexpression of <e1> P-glycoprotein </e1> are markedly less resistant to cryptophycin than they are to vinblastine, colchicine, and taxol.	0	P-glycoprotein	Ovarian carcinoma
Our findings indicate that: (I) <e1> VDR </e1> expression is increased in <e2> ovarian carcinomas </e2> as compared to normal ovarian tissue.	0	VDR	ovarian carcinomas
These studies validate that <e1> TFF3 </e1> is overexpressed in a subset of primary and metastic <e2> prostate cancers </e2> .	0	TFF3	prostate cancers
We have previously shown that <e1> TCEAL7 </e1> (transcription elongation factor A (SII)-like 7) is epigenetically down-regulated in the majority of epithelial <e2> ovarian cancers </e2> .	0	TCEAL7	ovarian cancers
Activation of <e1> PI3K/Akt </e1> signaling and hormone resistance in <e2> breast cancer </e2> .	0	PI3K/Akt	breast cancer
Transfection of HER2 in <e2> MCF7 </e2> breast cancer cells that express HER3 caused a phosphoinoside-3 kinase (PI-3K)-dependent activation of <e1> Akt </e1> , and was associated with an increased resistance of the cells to multiple chemotherapeutic agents (paclitaxel, doxorubicin, 5-fluorouracil, etoposide, and camptothecin).	0	Akt	MCF7
In conclusion, we provide an explanation for telomerase inhibition after <e1> androgen receptor </e1> blockade in LNCaP cells and we also report activation of the p53 pathway in LNCaP cells and in-vitro sensitivity to bicalutamide of low confluent androgen-insensitive <e2> DU145 </e2> cells.	0	androgen receptor	DU145
Matrilysin (MMP-7) promotes invasion of <e2> ovarian cancer </e2> cells by activation of <e1> progelatinase </e1> .	1	progelatinase	ovarian cancer
Overexpression of <e1> c-erbB-2 oncoprotein </e1> was found in seven (21.9%) of 32 epithelial <e2> ovarian cancers </e2> .	0	c-erbB-2 oncoprotein	ovarian cancers
The same concentration of R1881 resulted in a decrease in intracellular glutathione concentrations and an increase in <e1> gamma-glutamyl transpeptidase </e1> activity in <e2> LNCaP </e2> cells.	0	gamma-glutamyl transpeptidase	LNCaP
LPA increased <e1> COX-2 protein </e1> expression in a time- and concentration-dependent manner in two of three immortalized borderline ovarian epithelial cells as well as in four of six <e2> ovarian cancer </e2> cell lines.	0	COX-2 protein	ovarian cancer
<e1> MKK4 </e1> gene knockdown in <e2> MDAH 2774 </e2> cells over-expressing MKK4 increased invasion activity.	0	MKK4	MDAH 2774
Serum alphaFP and betaHCG are very useful in the preoperative evaluation and management of nondysgerminomatous <e2> ovarian germ cell tumors </e2> , whereas elevated serum <e1> inhibin </e1> levels can be detected in patients with granulosa cell tumors of the ovary.	0	inhibin	ovarian germ cell tumors
On the contrary, transfection with <e1> GID5-6 </e1> to downregulate GSK-3beta activity decreased the BrdU incorporation in <e2> SKOV3 </e2> cells, compared with that in GID5-6LP, which is a control vector of GID5-6.	0	GID5-6	SKOV3
In nuclear run-on assays, 17beta-estradiol (E2) increased the rate of <e1> Tf gene </e1> expression approximately 3-fold within 1 h after treatment and reporter gene activity was also induced in <e2> MCF-7 </e2> cells transfected with a construct containing a -3600 to +39 Tf gene promoter insert.	0	Tf gene	MCF-7
In contrast to previous findings by others, <e1> PPAR-gamma </e1> ligands did not induce PPAR-gamma expression in EC or <e2> PC-3 </e2> .	0	PPAR-gamma	PC-3
The lack of Cyclin D1 was associated with a compensatory upregulation of <e1> Cyclin D3 </e1> , which explains why the targeted downregulation of Cyclin D1 in established <e2> mammary tumors </e2> had no effect on cancer cell proliferation.	0	Cyclin D3	mammary tumors
Expression and overexpression of the <e1> epidermal growth factor receptor </e1> (EGFR) have been described in several solid tumors including bladder, breast, colorectal, NSCLC, prostate, and <e2> ovarian cancers </e2> .	0	epidermal growth factor receptor	ovarian cancers
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and <e1> miR-183 </e1> , with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-183	BPH
We have previously shown that the E3 ubiquitin ligase, <e1> EDD </e1> , a regulator of DNA damage responses, is amplified and overexpressed in serous <e2> ovarian carcinoma </e2> .	0	EDD	ovarian carcinoma
Thus, even when C2GnT1 is expressed, the O-glycans added to MUC1 become core 1-dominated structures, provided expression of <e1> ST3Gal-I </e1> is increased as it is in <e2> breast cancer </e2> .	0	ST3Gal-I	breast cancer
Recent cDNA array analyses suggest that <e1> human intestinal trefoil factor 3 </e1> (TFF3) may be overexpressed in human <e2> prostate cancer </e2> .	0	human intestinal trefoil factor 3	prostate cancer
Here we demonstrate that arsenite induces the expression of HIF-1alpha but not <e1> HIF-1beta subunit </e1> in <e2> DU145 </e2> human prostate carcinoma cells.	0	HIF-1beta subunit	DU145
Patients with invasive <e2> ovarian cancer </e2> were found to have significantly higher median <e1> c-erbB-2 oncoprotein </e1> expression than patients with either benign ovarian cyst (P = 0.002) or control groups (P = 0.001).	0	c-erbB-2 oncoprotein	ovarian cancer
<e1> p53 </e1> overexpression has been correlated with poor outcome for women with <e2> ovarian cancer </e2> in some studies.	0	p53	ovarian cancer
ErbB2 increases <e1> vascular endothelial growth factor protein </e1> synthesis via activation of mammalian target of rapamycin/p70S6K leading to increased angiogenesis and spontaneous metastasis of human <e2> breast cancer </e2> cells.	1	vascular endothelial growth factor protein	breast cancer
Efficient inhibition of cisplatin-resistant human <e2> ovarian cancer </e2> growth and prolonged survival by gene transferred <e1> vesicular stomatitis virus matrix protein </e1> in nude mice.	1	vesicular stomatitis virus matrix protein	ovarian cancer
<e1> BRCA1 </e1> expression is decreased or absent in a significant proportion of sporadic breast and <e2> ovarian cancers </e2> , suggesting a wider role in these tumor types.	0	BRCA1	ovarian cancers
Overexpression of <e1> IL-4 </e1> increases the sensitivity of androgen-sensitive <e2> LNCaP </e2> prostate cancer cells in response to androgen stimulation and enhances the growth of LNCaP cells both in the presence and absence of androgen in vitro and in vivo.	1	IL-4	LNCaP
Specific inhibition of <e1> AKT </e1> 2 by RNA interference results in reduction of <e2> ovarian cancer </e2> cell proliferation: increased expression of AKT in advanced ovarian cancer.	0	AKT	ovarian cancer
Coexistence of Graves' disease and benign <e2> struma ovarii </e2> in a patient with marked ascites and elevated <e1> CA-125 </e1> levels.	0	CA-125	struma ovarii
Treatment of <e2> HOSE </e2> or OCa cells with estrone or 17beta-estradiol at 10(-8) M for a period of 72 h induced significant loss of <e1> PR-A </e1> and PR-B mRNA and protein expression, with the regulation primarily controlled at the transcriptional level.	0	PR-A	HOSE
Ubiquitous <e1> mitochondrial creatine kinase </e1> is overexpressed in the conditioned medium and the extract of <e2> LNCaP </e2> lineaged androgen independent cell lines and facilitates prostate cancer progression.	1	mitochondrial creatine kinase	LNCaP
Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with <e2> prostatic cancer </e2> prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in <e1> alpha 1-globulin </e1> from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy.	0	alpha 1-globulin	prostatic cancer
Compared with that of the vector control and naïve <e2> MCF7 </e2> cell group, there was a significant decrease of <e1> BCSG-1 protein </e1> expression in the four experimental groups by immuno-histochemistry staining (P<0.01).	0	BCSG-1 protein	MCF7
Transfection of <e1> IGFBP-3 </e1> increased the radiosensitivity of <e2> T47D </e2> and increased IR-induced apoptosis but did not effect a rapid G(1) arrest.	1	IGFBP-3	T47D
With the treatment of 9-cis RA, the <e1> NKX3.1 promoter </e1> activity was increased in reporter gene assay and NKX3.1 expression was enhanced at both mRNA and protein levels in <e2> LNCaP </e2> cells.	0	NKX3.1 promoter	LNCaP
<e1> CSF-1 </e1> overexpression in <e2> Hey </e2> cells was found to associate with increased invasiveness, motility, urokinase activity, and virulence of tumorigenicity, compared with NOSE.1 cells, which expressed little CSF-1.	0	CSF-1	Hey
In summary, the <e2> LNCaP </e2> xenograft model of human prostate cancer as well as clinical specimens of prostate cancer demonstrated an up-regulation of <e1> SREBPs </e1> and their downstream effector genes during progression to androgen independence.	0	SREBPs	LNCaP
Reactivation of <e1> androgen receptor-regulated TMPRSS2 </e1> :ERG gene expression in castration-resistant <e2> prostate cancer </e2> .	0	androgen receptor-regulated TMPRSS2	prostate cancer
Hepatocyte growth factor up-regulates the expression of the <e1> bone morphogenetic protein (BMP) receptors </e1> , BMPR-IB and BMPR-II, in human <e2> prostate cancer </e2> cells.	0	bone morphogenetic protein (BMP) receptors	prostate cancer
L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and <e1> N-myc downstream regulated gene 1 </e1> in <e2> prostate carcinoma </e2> cells.	1	N-myc downstream regulated gene 1	prostate carcinoma
<e1> Maspin </e1> is a noninhibitory member of the serpin family that is down-regulated in <e2> breast carcinoma </e2> but overexpressed in pancreatic carcinoma.	0	Maspin	breast carcinoma
Cell-surface expression of <e1> galectin-3 </e1> was reduced following treatment of viable <e2> T47D </e2> human breast carcinoma cells with gelatinase A.	0	galectin-3	T47D
Northern blot analysis of mRNA from normal and <e2> BPH </e2> stromal cells demonstrated a 5-fold decrease in <e1> IGFBP-2 mRNA </e1> (P &lt; 0.001) and a 4-fold increase in IGFBP-5 mRNA (P &lt; 0.01) in BPH compared to normal cells.	0	IGFBP-2 mRNA	BPH
<e1> AGR2 </e1> knockdown induced cell death in <e2> ZR-75-1 </e2> and T47 D cells, and also downregulated survivin and c-Myc.	1	AGR2	ZR-75-1
Kaplan-Meier survival analysis confirmed increased <e1> RPL19 </e1> expression to be highly predictive of shorter patient survival (P &lt; 0.05), revealing RPL19 to be a sensitive predictor of <e2> prostate cancer </e2> progression.	0	RPL19	prostate cancer
Overexpression of manganese <e1> superoxide dismutase </e1> in <e2> DU145 </e2> human prostate carcinoma cells has multiple effects on cell phenotype.	0	superoxide dismutase	DU145
Expression of C2GnT1 is low or absent in around 50% of <e2> breast cancers </e2> , whereas expression of <e1> ST3Gal-I </e1> is consistently increased.	0	ST3Gal-I	breast cancers
Patients with <e2> breast cancer </e2> showed enhanced blood plasma concentrations of progesterone and estradiol, and enhanced tissue levels of ER and <e1> PGR </e1> associated with increased leptin levels.	0	PGR	breast cancer
Thus, pharmacologically-induced metabolic restriction (via treatment with glycolysis inhibitors) may be a promising new therapeutic strategy for <e2> breast cancer </e2> patients that lack stromal <e1> Cav-1 </e1> expression.	0	Cav-1	breast cancer
Subtype specific elevated expression of hyaluronidase-1 ( <e1> HYAL-1 </e1> ) in epithelial <e2> ovarian cancer </e2> .	0	HYAL-1	ovarian cancer
Overexpression of IGFBP2 and <e1> IGFBP5 </e1> contributes to the invasiveness and progression of several human cancers, but their roles in the metastasis of <e2> breast cancer </e2> have not been investigated in detail.	0	IGFBP5	breast cancer
Loss of <e1> MKK4 </e1> expression in <e2> ovarian cancer </e2> : a potential role for the epithelial to mesenchymal transition.	0	MKK4	ovarian cancer
For example, some studies showed that <e1> CLU </e1> expression is increased in advanced stages of <e2> prostate cancer </e2> and that suppression of CLU expression sensitizes prostate cancer cells to chemotherapeutic drugs killing.	1	CLU	prostate cancer
By using 5' deletion mutant constructs of <e1> MMP-2 promoter </e1> , we showed that deletion of the region containing activator protein-1 (AP-1) site caused the greatest reduction of MMP-2 promoter activity both in MKK6- and H-Ras-activated <e2> MCF10A </e2> cells, suggesting that the AP-1 binding site is critical for the MMP-2 promoter activation.	0	MMP-2 promoter	MCF10A
All three interferons and TPA enhanced the expression of the Mr 180,000 <e1> carcinoembryonic antigen </e1> (CEA) and CEA-related TAA recognized by monoclonal antibody B1.1 in both <e2> T47D </e2> and MCF-7 human breast carcinoma cell lines.	0	carcinoembryonic antigen	T47D
Activation of <e1> mitogen-activated protein kinase </e1> pathway by the antiandrogen hydroxyflutamide in androgen receptor-negative <e2> prostate cancer </e2> cells.	0	mitogen-activated protein kinase	prostate cancer
Concomitantly, bcl-2 p2 promoter studies in <e2> LNCaP </e2> cells show a 40-fold increase in promoter activity after stimulation with <e1> TNF-alpha </e1> in the absence of hormone.	0	TNF-alpha	LNCaP
Increased expression of <e1> CD146 </e1> , a cell adhesion molecule, has been reported to be closely associated with an advanced stage of malignant melanoma, prostate cancer, and <e2> ovarian cancer </e2> .	0	CD146	ovarian cancer
Recent cDNA array analyses suggest that human intestinal trefoil factor 3 ( <e1> TFF3 </e1> ) may be overexpressed in human <e2> prostate cancer </e2> .	0	TFF3	prostate cancer
We showed that treatment of <e2> MCF-7 </e2> and triple-negative MDA-MB-231 human breast cancer cells with a GnRH-II antagonist results in apoptotic cell death in vitro via activation of stress-activated MAPK <e1> p38 </e1> and loss of mitochondrial membrane potential.	1	p38	MCF-7
We have previously described the increased expression of two prostate-specific G-protein coupled receptors ( <e1> PSGR </e1> and PSGR2) in human <e2> prostate cancer </e2> .	0	PSGR	prostate cancer
<e1> TAT </e1> and FDP were increased following cancer dissemination, and the recovery of coagulative and fibrinolytic factors (TAT, FDP) with effective treatment was correlated to the prognosis for patients with <e2> ovarian cancer </e2> .	0	TAT	ovarian cancer
Elevated serum <e1> chromogranin A </e1> precedes prostate-specific antigen elevation and predicts failure of androgen deprivation therapy in patients with advanced <e2> prostate cancer </e2> .	0	chromogranin A	prostate cancer
Quercetin-induced growth inhibition and cell death in prostatic carcinoma cells ( <e2> PC-3 </e2> ) are associated with increase in p21 and <e1> hypophosphorylated retinoblastoma proteins </e1> expression.	0	hypophosphorylated retinoblastoma proteins	PC-3
<e1> Six1 </e1> was overexpressed in 50% of the early-stage (stage I) and 63% of the late-stage (stages II, III, and IV) <e2> ovarian carcinomas </e2> examined, with late-stage carcinomas expressing approximately 3-fold higher Six1 mRNA levels on average compared with early-stage tumors.	0	Six1	ovarian carcinomas
Quantitative PCR revealed decreased <e1> Notch 1 </e1> mRNA in <e2> ovarian adenocarcinomas </e2> compared with adenomas.	0	Notch 1	ovarian adenocarcinomas
It has been shown recently that 17beta-estradiol (E2) can stimulate the <e1> Src/p21ras/mitogen-activated protein kinase </e1> pathway in <e2> breast cancer </e2> cells, and this effect is supposed to mediate the E2-induced stimulation of breast cancer cell proliferation, possibly via activation of the c-fos and c-jun early genes or of genes involved in cell cycle control.	1	Src/p21ras/mitogen-activated protein kinase	breast cancer
After glioma pathogenesis-related protein 1 ( <e1> GLIPR1 </e1> /Glipr1) was identified, the expression of GLIPR1 was shown to be down-regulated in human <e2> prostate cancer </e2> , owing in part to methylation in the regulatory region of this gene in prostate cancer cells.	0	GLIPR1	prostate cancer
<e2> Prostate cancer </e2> bony metastases show increased expression of the PTH receptor ( <e1> PTH-IR </e1> ) and PTH promotes the growth and invasiveness of prostate cancer cells in bone.	1	PTH-IR	Prostate cancer
